,mach_id,asm_id,asm_name,par_id,ile,name
109,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26508,1,DIN_127_M6_Zn_HV200
110,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26511,1,DIN_127_M6_Zn_HV200
111,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26514,1,DIN_127_M6_Zn_HV200
112,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26517,1,DIN_125_M6_Zn_HV200
113,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26520,1,DIN_125_M6_Zn_HV200
114,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26523,1,DIN_125_M6_Zn_HV200
115,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26526,1,DIN_912_M6x12_Zn_KL8.8
116,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26529,1,DIN_127_M6_Zn_HV200
117,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26532,1,DIN_125_M6_Zn_HV200
118,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26535,1,DIN_912_M6x12_Zn_KL8.8
119,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26538,1,DIN_125_M6_Zn_HV200
120,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26541,1,DIN_912_M6x12_Zn_KL8.8
121,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26544,1,DIN_127_M6_Zn_HV200
122,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26547,1,DIN_125_M6_Zn_HV200
123,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26550,1,DIN_912_M6x12_Zn_KL8.8
124,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26553,1,DIN_127_M6_Zn_HV200
125,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26556,1,DIN_127_M6_Zn_HV200
126,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26559,1,DIN_125_M6_Zn_HV200
127,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26562,1,DIN_125_M6_Zn_HV200
128,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26565,1,DIN_912_M6x12_Zn_KL8.8
