"maszyna","asm_id","zespol","par_id","ilosc","name"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3994",1,"DIN_127_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id3997",1,"DIN_127_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4000",1,"DIN_127_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4003",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4110",1,"Łańcuch 10B-1 x 52 a=310 L=825,5"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4217",1,"DIN_9021_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4267",1,"DIN_933_M10x30_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4270",1,"DIN_933_M10x30_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4273",1,"DIN_9021_M8_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4422",1,"Kolo_lancuchowe_z_piasta_SM_10B-1_z16_d25"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4481",1,"032P_01.00.00.001_Plaskownik_spinajacy"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4517",1,"DIN_127_M10_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4520",1,"DIN_127_M10_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4552",1,"DIN_125_M10_Zn_HV200"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id4555",1,"DIN_125_M10_Zn_HV200"
