,mach_id,asm_id,asm_name,par_id,ile
312,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7041,1
313,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7099,1
314,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7212,1
315,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7215,1
316,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7218,1
317,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7221,1
318,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7224,1
319,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7227,1
320,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7230,1
321,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7233,1
322,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7236,1
323,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7239,1
324,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7242,1
325,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7245,1
326,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7277,1
327,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7280,1
328,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7283,1
329,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7286,1
330,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7289,1
331,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7292,1
332,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7295,1
333,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7298,1
334,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7301,1
335,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7304,1
336,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7307,1
337,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7310,1
338,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7313,1
339,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7316,1
340,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7319,1
341,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7322,1
342,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7325,1
343,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7328,1
344,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7331,1
345,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7334,1
346,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7337,1
347,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7340,1
348,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7348,1
349,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7351,1
350,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7354,1
351,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7357,1
352,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7360,1
353,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7363,1
354,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7418,1
355,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7421,1
356,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7424,1
357,032P,id13,032P_01.00.00.000_Modul_rolkowy,id7427,1
