,name,id,ref,ref_name,ref_type,asm
45,034P_01.00.00.003_Ceownik_UPN100_465.par:3,id1019,id450,x,x,x
46,034P_01.00.00.003_Ceownik_UPN100_465.par:2,id1022,id450,x,x,x
47,034P_01.00.00.003_Ceownik_UPN100_465.par:1,id1025,id450,x,x,x
48,034P_02.00.00.006_Blacha.psm:1,id1070,id1028,x,x,x
49,DIN_125_M16_Zn_HV200.par:7,id1102,id1073,x,x,x
50,DIN_934_M16_Zn_KL8.par:2,id1149,id1105,x,x,x
51,DIN_934_M16_Zn_KL8.par:1,id1152,id1105,x,x,x
52,DIN_125_M16_Zn_HV200.par:8,id1155,id1073,x,x,x
53,034P_03.01.00.000S_Slizg.asm:1,id1161,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
54,034P_03.01.00.001_Blacha.psm:1,id1192,id1164,x,x,x
55,034P_03.01.00.002_Blacha.psm:1,id1219,id1196,x,x,x
56,034P_03.01.00.005_Tuleja.par:1,id1246,id1223,x,x,x
57,034P_03.01.00.003_Blacha.psm:1,id1273,id1250,x,x,x
58,034P_03.01.00.004_Blacha.psm:1,id1309,id1277,x,x,x
59,034P_03.01.00.005_Tuleja.par:2,id1313,id1223,x,x,x
60,034P_05.05.00.000S_Banda_5.asm:2,id1320,id1317,034P_05.05.00.000S_Banda_5,assembly,id1363 id1390 id1422 id1426 id1430 id1434 id1438 id1484 id1487 id1491 id1495 id1499 id1503 id1507
61,034P_05.05.00.001_Blacha.psm:1,id1363,id1323,x,x,x
62,034P_05.05.00.002_Blacha.psm:1,id1390,id1367,x,x,x
63,034P_05.05.00.003_Blacha.psm:1,id1422,id1394,x,x,x
64,034P_05.05.00.002_Blacha.psm:2,id1426,id1367,x,x,x
65,034P_05.05.00.002_Blacha.psm:3,id1430,id1367,x,x,x
66,034P_05.05.00.002_Blacha.psm:4,id1434,id1367,x,x,x
67,034P_05.05.00.002_Blacha.psm:5,id1438,id1367,x,x,x
68,DIN_6331_M8_CZ_KL10.par:2,id1484,id1442,x,x,x
69,034P_05.05.00.003_Blacha.psm:2,id1487,id1394,x,x,x
70,034P_05.05.00.003_Blacha.psm:3,id1491,id1394,x,x,x
71,034P_05.05.00.003_Blacha.psm:4,id1495,id1394,x,x,x
72,034P_05.05.00.003_Blacha.psm:5,id1499,id1394,x,x,x
73,034P_05.05.00.003_Blacha.psm:6,id1503,id1394,x,x,x
74,DIN_6331_M8_CZ_KL10.par:1,id1507,id1442,x,x,x
75,DIN_125_M16_Zn_HV200.par:5,id1510,id1073,x,x,x
76,DIN_125_M16_Zn_HV200.par:4,id1513,id1073,x,x,x
77,DIN_125_M16_Zn_HV200.par:6,id1516,id1073,x,x,x
78,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:1,id1771,id1519,x,x,x
79,DIN_125_M16_Zn_HV200.par:2,id1774,id1073,x,x,x
80,DIN_125_M16_Zn_HV200.par:1,id1777,id1073,x,x,x
81,DIN_125_M16_Zn_HV200.par:3,id1780,id1073,x,x,x
82,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:2,id1783,id1519,x,x,x
83,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:3,id1786,id1519,x,x,x
84,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:4,id1789,id1519,x,x,x
85,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:5,id1792,id1519,x,x,x
86,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:6,id1795,id1519,x,x,x
87,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:7,id1798,id1519,x,x,x
88,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:8,id1801,id1519,x,x,x
89,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:9,id1804,id1519,x,x,x
90,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:10,id1807,id1519,x,x,x
91,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:11,id1810,id1519,x,x,x
92,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:12,id1813,id1519,x,x,x
93,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:13,id1816,id1519,x,x,x
