,is_asm,mach_name,asm_name,par_name,par_per_asm
149,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
150,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
151,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
152,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
153,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
154,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
155,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
156,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
157,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
158,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
159,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
160,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
161,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
162,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
163,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
164,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
165,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
166,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
167,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
168,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
169,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
170,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
171,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
172,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
173,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
174,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
175,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
176,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
177,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
178,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
179,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
180,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
181,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_127_M10_Zn_HV200,1
182,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
183,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_933_M10x30_Zn_KL8.8,1
184,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M10_Zn_HV200,1
