,mach_id,asm_id,asm_name,par_id,ile,id,name
153,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3766,,id3766,DIN_127_M12_Zn_HV200
154,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3769,,id3769,DIN_934_M12_Zn_KL8
155,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3772,,id3772,DIN_125_M12_Zn_HV200
156,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3775,,id3775,DIN_934_M12_Zn_KL8
157,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3778,,id3778,DIN_127_M12_Zn_HV200
158,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3781,,id3781,DIN_125_M12_Zn_HV200
159,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3784,,id3784,DIN_933_M12x40_Zn_KL8.8
160,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3787,,id3787,DIN_125_M12_Zn_HV200
161,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3790,,id3790,DIN_127_M12_Zn_HV200
162,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3793,,id3793,DIN_125_M12_Zn_HV200
163,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3796,,id3796,DIN_125_M12_Zn_HV200
164,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3799,,id3799,DIN_934_M12_Zn_KL8
165,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3802,,id3802,DIN_127_M12_Zn_HV200
166,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3805,,id3805,DIN_125_M12_Zn_HV200
167,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3808,,id3808,DIN_933_M12x40_Zn_KL8.8
168,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3811,,id3811,DIN_125_M12_Zn_HV200
169,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3814,,id3814,DIN_127_M12_Zn_HV200
170,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3817,,id3817,DIN_933_M12x40_Zn_KL8.8
171,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3820,,id3820,DIN_933_M12x40_Zn_KL8.8
172,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3823,,id3823,DIN_125_M12_Zn_HV200
173,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3826,,id3826,DIN_125_M12_Zn_HV200
174,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3829,,id3829,DIN_127_M12_Zn_HV200
175,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3832,,id3832,DIN_934_M12_Zn_KL8
176,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3835,,id3835,DIN_125_M12_Zn_HV200
177,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3945,,id3945,DIN_125_M8_Zn_HV200
178,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3988,,id3988,DIN_934_M8_Zn_KL8
179,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3991,,id3991,DIN_934_M8_Zn_KL8
180,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3994,,id3994,DIN_127_M8_Zn_HV200
181,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3997,,id3997,DIN_127_M8_Zn_HV200
182,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4000,,id4000,DIN_127_M8_Zn_HV200
183,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4217,,id4217,DIN_9021_M8_Zn_HV200
184,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4267,,id4267,DIN_933_M10x30_Zn_KL8.8
185,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4270,,id4270,DIN_933_M10x30_Zn_KL8.8
